"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
370354001460,"Public","Weeksville Elementary","Pasquotank County",0.978,"Kindergarten","1170 Salem Church Rd, Elizabeth City, NC 27909"
662,"Private","Penderlea Christian Academy","Pender County",0.667,"Kindergarten",NA
370360001473,"Public","Perquimans Central","Perquimans County",0.944,"Kindergarten","181 Winfall Blvd, Winfall, NC 27985"
370010902538,"Charter/Lab","Bethel Hill Charter","Person County",1,"Kindergarten","401 Bethel Hill School Road, Roxboro, NC 27574"
370048803639,"Charter/Lab","Carolina Community Academy","Person County",1,"Kindergarten","260 Henderson Rd, Roxboro, NC 27573"
370363001479,"Public","Helena Elementary","Person County",0.979,"Kindergarten","355 Helena Moriah Rd, Timberlake, NC 27583"
370363001480,"Public","North Elementary","Person County",1,"Kindergarten","260 Henderson Rd, Roxboro, NC 27573"
370363001481,"Public","North End Elementary","Person County",1,"Kindergarten","378 Mill Creek Rd, Roxboro, NC 27574"
370363001483,"Public","Oak Lane Elementary","Person County",1,"Kindergarten","2076 Jim Morton Rd, Hurdle Mills, NC 27541"
370363001485,"Public","South Elementary","Person County",0.986,"Kindergarten","1333 Hurdle Mills Rd, Roxboro, NC 27573"
370363002539,"Public","Stories Creek Elementary","Person County",1,"Kindergarten","133 Stories Creek School Road, Roxboro, NC 27574"
370363001487,"Public","Woodland Elementary","Person County",0.977,"Kindergarten","7391 Semora Rd, Semora, NC 27343"
663,"Private","Greenville Christian Academy","Pitt County",0.81,"Kindergarten",NA
664,"Private","Oakwood School","Pitt County",0.909,"Kindergarten",NA
665,"Private","Open Door School","Pitt County",1,"Kindergarten",NA
666,"Private","Walton Academy","Pitt County",1,"Kindergarten",NA
370039603370,"Charter/Lab","Winterville Charter Academy","Pitt County",0.884,"Kindergarten","4160 Bayswater Road, Winterville, NC 28590"
370372000780,"Public","Polk Central Elementary School","Polk County",0.902,"Kindergarten","2141 South NC9 Hwy, Mill Spring, NC 28756"
370372001511,"Public","Saluda Elementary School","Polk County",0.926,"Kindergarten","214 E Main Street, Saluda, NC 28773"
370372001513,"Public","Sunny View Elementary School","Polk County",0.864,"Kindergarten","86 Sunny View School Road, Mill Spring, NC 28756"
370372002230,"Public","Tryon Elementary School","Polk County",0.9,"Kindergarten","100 School Place, Tryon, NC 28782"
370378001514,"Public","Archdale Elementary School","Randolph County",1,"Kindergarten","207 Trindale Rd, Archdale, NC 27263"
667,"Private","Asheboro Hybrid Academy","Randolph County",0.593,"Kindergarten",NA
668,"Private","Bailey's Grove Baptist School","Randolph County",0.8,"Kindergarten",NA
370024000065,"Public","Charles W McCrary Elementary","Randolph County",0.967,"Kindergarten","400 Ross St, Asheboro, NC 27203"
370378001518,"Public","Coleridge Elementary School","Randolph County",0.938,"Kindergarten","4528 NC Hwy 22 South, Ramseur, NC 27316"
669,"Private","Faith Christian School","Randolph County",1,"Kindergarten",NA
370378001520,"Public","Farmer Elementary School","Randolph County",0.923,"Kindergarten","3557 Grange Hall Rd, Asheboro, NC 27205"
670,"Private","Fayetteville Street Christian School","Randolph County",0.909,"Kindergarten",NA
370378001521,"Public","Franklinville Elementary School","Randolph County",0.939,"Kindergarten","162 Pine St, Franklinville, NC 27248"
370378001522,"Public","Grays Chapel Elementary School","Randolph County",1,"Kindergarten","5322 NC Hwy 22 N, Franklinville, NC 27248"
370378002605,"Public","Hopewell Elementary School","Randolph County",0.911,"Kindergarten","6294 Welborn Road, Trinity, NC 27370"
370378001523,"Public","Liberty Elementary School","Randolph County",0.955,"Kindergarten","206 N Fayetteville St, Liberty, NC 27298"
370378001524,"Public","New Market Elementary School","Randolph County",0.882,"Kindergarten","6096 US Hwy 311, Sophia, NC 27350"
370378001525,"Public","Ramseur Elementary School","Randolph County",0.983,"Kindergarten","6755 Jordan Road, Ramseur, NC 27316"
370378001526,"Public","Randleman Elementary School","Randolph County",0.942,"Kindergarten","100 Swaim St, Randleman, NC 27317"
370378001529,"Public","Seagrove Elementary School","Randolph County",0.983,"Kindergarten","528 Old Plank Rd, Seagrove, NC 27341"
370378002606,"Public","Southmont Elementary School","Randolph County",0.957,"Kindergarten","2497 Southmont School Road, Asheboro, NC 27205"
370378001531,"Public","Tabernacle Elementary School","Randolph County",0.933,"Kindergarten","4901 Tabernacle School Rd, Asheboro, NC 27205"
370378001532,"Public","Trindale Elementary School","Randolph County",0.967,"Kindergarten","400 Balfour Dr, Archdale, NC 27263"
370378001533,"Public","Trinity Elementary School","Randolph County",0.988,"Kindergarten","5457 Braxton Craven Rd, Trinity, NC 27370"
370033403303,"Charter/Lab","Uwharrie Charter Academy","Randolph County",1,"Kindergarten","207 Eagle Ln., Asheboro, NC 27205"
370387001550,"Public","Fairview Heights Elementary","Richmond County",0.987,"Kindergarten","104 Hamilton Ave, Hamlet, NC 28345"
370387001553,"Public","L J Bell Elementary","Richmond County",0.983,"Kindergarten","442 Hawthorne Ave, Rockingham, NC 28379"
370387001555,"Public","Mineral Springs Elementary","Richmond County",1,"Kindergarten","1426 Green Lake Rd, Ellerbe, NC 28338"
370387001556,"Public","Monroe Avenue Elementary","Richmond County",0.973,"Kindergarten","400 Monroe Ave, Hamlet, NC 28345"
671,"Private","Roberdel Baptist School","Richmond County",0.938,"Kindergarten",NA
370387001561,"Public","West Rockingham Elementary","Richmond County",1,"Kindergarten","271 W US 74 Hwy, Rockingham, NC 28379"
370393001569,"Public","Deep Branch Elementary","Robeson County",0.991,"Kindergarten","4045 Deep Branch Road, Lumberton, NC 28360"
370393002050,"Public","East Robeson Primary","Robeson County",0.939,"Kindergarten","4840 7th Street Road, Lumberton, NC 28358"
370393001571,"Public","Fairgrove Elementary School","Robeson County",0.952,"Kindergarten","1953 Fairgrove School Road, Fairmont, NC 28340"
370393001573,"Public","Long Branch Elementary","Robeson County",0.949,"Kindergarten","10218 NC 72 East, Lumberton, NC 28358"
370047403567,"Charter/Lab","Old Main STREAM Academy","Robeson County",1,"Kindergarten","200 North Odum Street, Pembroke, NC 28372"
370393001576,"Public","Oxendine Elementary","Robeson County",1,"Kindergarten","5599 Oxendine School Rd, Maxton, NC 28364"
370393001577,"Public","Parkton Elementary","Robeson County",0.869,"Kindergarten","400 North Green Street, Parkton, NC 28371"
370393001578,"Public","Pembroke Elementary","Robeson County",0.949,"Kindergarten","505 South Jones Street, Pembroke, NC 28372"
370393002238,"Public","Peterson Elementary","Robeson County",0.782,"Kindergarten","102 Phillips Ave, Red Springs, NC 28377"
370393001581,"Public","Piney Grove Elementary","Robeson County",1,"Kindergarten","1680 Piney Grove Road, Lumberton, NC 28358"
370393001583,"Public","Prospect Elementary","Robeson County",0.978,"Kindergarten","4024 Missouri Road, Maxton, NC 28364"
370393001585,"Public","Rex-Rennert Elementary","Robeson County",0.983,"Kindergarten","11780 Rennert Road, Shannon, NC 28386"
370393002241,"Public","Rosenwald Elementary","Robeson County",0.845,"Kindergarten","301 Martin L King Dr, Fairmont, NC 28340"
370393002242,"Public","Rowland Norment Elementary","Robeson County",0.887,"Kindergarten","701 Godwin Ave, Lumberton, NC 28358"
370393002243,"Public","Saint Pauls Elementary","Robeson County",1,"Kindergarten","222 Martin Luther King Drive, Saint Pauls, NC 28384"
370034603302,"Charter/Lab","Southeastern Academy","Robeson County",1,"Kindergarten","12251 NC HWY 41 North, Lumberton, NC 28358"
370393002246,"Public","Tanglewood Elementary","Robeson County",0.903,"Kindergarten","400 West 29th Street, Lumberton, NC 28358"
370393001589,"Public","Union Chapel Elementary","Robeson County",0.975,"Kindergarten","4271 Union Chapel Road, Pembroke, NC 28372"
370393001590,"Public","Union Elementary","Robeson County",1,"Kindergarten","2547 NC Hwy 710 South, Rowland, NC 28383"
370393002247,"Public","W H Knuckles","Robeson County",0.926,"Kindergarten","1520 Martin L King Dr, Lumberton, NC 28358"
370399001591,"Public","Bethany Elementary","Rockingham County",0.969,"Kindergarten","271 Bethany Rd, Reidsville, NC 27320"
370399001066,"Public","Central Elementary","Rockingham County",0.906,"Kindergarten","435 E Stadium Dr, Eden, NC 27288"
672,"Private","Community Baptist School","Rockingham County",1,"Kindergarten",NA
370399001067,"Public","Douglass Elementary","Rockingham County",0.983,"Kindergarten","408 Price St., Eden, NC 27288"
673,"Private","Freedom Academy","Rockingham County",0.933,"Kindergarten",NA
370399002680,"Public","Huntsville Elementary","Rockingham County",0.956,"Kindergarten","2020 Sardis Church Road, Madison, NC 27025"
370399002307,"Public","John W Dillard Academy","Rockingham County",1,"Kindergarten","810 Cure Dr, Madison, NC 27025"
370399001242,"Public","Leaksville-Spray Elementary","Rockingham County",0.965,"Kindergarten","415 Highland Dr, Eden, NC 27288"
370399002542,"Public","Lincoln Elementary","Rockingham County",0.956,"Kindergarten","2660 Oregon Hill Road, Ruffin, NC 27326"
370399001594,"Public","Monroeton Elementary","Rockingham County",0.972,"Kindergarten","8081 US Highway 158, Reidsville, NC 27320"
370399001544,"Public","South End Elementary","Rockingham County",0.958,"Kindergarten","1307 South Park Drive, Reidsville, NC 27320"
370399002227,"Public","Stoneville Elementary","Rockingham County",0.939,"Kindergarten","203 Stone St, Stoneville, NC 27048"
370399001599,"Public","Wentworth Elementary","Rockingham County",0.977,"Kindergarten","8806 NC Hwy 87, Reidsville, NC 27320"
370399001545,"Public","Williamsburg Elementary","Rockingham County",0.938,"Kindergarten","2830 Hwy 87, Reidsville, NC 27320"
370047503568,"Charter/Lab","Faith Academy Charter School","Rowan County",0.975,"Kindergarten","420 North Main Street, Faith, NC 28041"
370405001620,"Public","Hurley Elementary","Rowan County",0.904,"Kindergarten","625 Hurley School Rd, Salisbury, NC 28147"
674,"Private","North Hills Christian School","Rowan County",0.841,"Kindergarten",NA
675,"Private","Rockwell Christian School","Rowan County",0.967,"Kindergarten",NA
676,"Private","Sacred Heart Catholic School","Rowan County",1,"Kindergarten",NA
677,"Private","Salisbury Academy","Rowan County",0.947,"Kindergarten",NA
370408001637,"Public","Cliffside Elementary School","Rutherford County",0.871,"Kindergarten","4016 US Hwy 221-A, Cliffside, NC 28024"
370408001641,"Public","Ellenboro Elementary School","Rutherford County",0.976,"Kindergarten","813 Piney Mountain Church Rd, Ellenboro, NC 28040"
370408001639,"Public","Forest City-Dunbar Elementary School","Rutherford County",0.958,"Kindergarten","286 Learning Parkway, Forest City, NC 28043"
370408000909,"Public","Forrest W. Hunt Elementary School","Rutherford County",0.947,"Kindergarten","100 Forrest Hunt Drive, Forest City, NC 28043"
370408001645,"Public","Harris Elementary School","Rutherford County",0.933,"Kindergarten","3330 US 221 S Hwy, Forest City, NC 28043"
370031803187,"Charter/Lab","Lake Lure Classical Academy","Rutherford County",0.879,"Kindergarten","1058 Island Creek Rd., Lake Lure, NC 28746"
370408001646,"Public","Mt. Vernon-Ruth Elementary School","Rutherford County",0.882,"Kindergarten","2785 Hudlow Road, Forest City, NC 28043"
370408002479,"Public","Pinnacle Elementary School","Rutherford County",0.881,"Kindergarten","1204 Painters Gap Road, Rutherfordton, NC 28139"
370408001650,"Public","Rutherfordton Elementary School","Rutherford County",0.967,"Kindergarten","201 Bob Hardin Road, Rutherfordton, NC 28139"
370408001653,"Public","Spindale Elementary School","Rutherford County",0.949,"Kindergarten","161 N Oak St, Spindale, NC 28160"
370408001654,"Public","Sunshine Elementary School","Rutherford County",0.884,"Kindergarten","231 Toney Road, Bostic, NC 28018"
678,"Private","Trinity Christian School","Rutherford County",1,"Kindergarten",NA
370414001667,"Public","Clement Elementary","Sampson County",0.936,"Kindergarten","3220 Maxwell Rd, Autryville, NC 28318"
370414001671,"Public","Hargrove Elementary","Sampson County",0.902,"Kindergarten","7725 Faison Hwy, Faison, NC 28341"
679,"Private","Harrells Christian Academy","Sampson County",0.921,"Kindergarten",NA
370414001673,"Public","Hobbton Elementary","Sampson County",0.973,"Kindergarten","12361 Hobbton Hwy, Newton Grove, NC 28366"
370093000355,"Public","Langdon C Kerr Elementary","Sampson County",0.953,"Kindergarten","112 Kimbrough Rd, Clinton, NC 28328"
370414001675,"Public","Midway Elementary","Sampson County",0.914,"Kindergarten","15375 Spiveys Corner Highway, Dunn, NC 28334"
370414001678,"Public","Plain View Elementary","Sampson County",0.977,"Kindergarten","4140 Plain View Hwy, Dunn, NC 28334"
370414001680,"Public","Salemburg Elementary","Sampson County",0.967,"Kindergarten","404 E. College Street, Salemburg, NC 28385"
680,"Private","The Point Christian Academy","Sampson County",1,"Kindergarten",NA
370414001682,"Public","Union Elementary","Sampson County",0.957,"Kindergarten","10400 Taylors Bridge Hwy, Clinton, NC 28328"
370420001689,"Public","Laurel Hill Elementary","Scotland County",1,"Kindergarten","11340 Old Wire Road, Laurel Hill, NC 28351"
370420003569,"Public","Sycamore Lane Primary","Scotland County",0.904,"Kindergarten","2098 Elm Ave, Laurinburg, NC 28352"
370420001695,"Public","Wagram Elementary","Scotland County",0.979,"Kindergarten","24081 Main Street, Wagram, NC 28396"
681,"Private","Carolina Christian School","Stanly County",0.697,"Kindergarten",NA
682,"Private","Heritage Classical Academy","Stanly County",0.722,"Kindergarten",NA
683,"Private","Park Ridge Christian School","Stanly County",1,"Kindergarten",NA
684,"Private","Calvary Christian School","Stokes County",0.967,"Kindergarten",NA
370438003252,"Public","Poplar Springs Elementary School","Stokes County",0.986,"Kindergarten","223 Hobe Kiser Road, King, NC 27021"
370011102548,"Charter/Lab","Millennium Charter Academy","Surry County",0.968,"Kindergarten","500 Old Springs Rd, Mount Airy, NC 27030"
370441001753,"Public","Mountain Park Elementary","Surry County",0.966,"Kindergarten","505 Mountain Park Rd, State Road, NC 28676"
685,"Private","New Kituwah Academy","Swain County",1,"Kindergarten",NA
370444002315,"Public","Swain County East Elementary","Swain County",0.915,"Kindergarten","4747 Ela Rd, Bryson City, NC 28713"
370444002316,"Public","Swain County West Elementary","Swain County",0.924,"Kindergarten","4142 Hwy 19 West, Bryson City, NC 28713"
370453001777,"Public","Brevard Elementary","Transylvania County",0.928,"Kindergarten","399 Greenville Hwy, Brevard, NC 28712"
686,"Private","Mountain Sun Community School","Transylvania County",0.813,"Kindergarten",NA
370453000796,"Public","Pisgah Forest Elementary","Transylvania County",0.987,"Kindergarten","1076 Ecusta Rd, Brevard, NC 28712"
370453001782,"Public","Rosman Elementary","Transylvania County",0.94,"Kindergarten","167 Rosman School Rd, Rosman, NC 28772"
370459001789,"Public","Tyrrell Elementary","Tyrrell County",0.905,"Kindergarten","486 Elementary School Road, Columbia, NC 27925"
370462002740,"Public","Antioch Elementary","Union County",0.983,"Kindergarten","3101 Antioch Church Road, Matthews, NC 28104"
687,"Private","Arborbrook Christian Academy","Union County",0.5,"Kindergarten",NA
370462001300,"Public","East Elementary","Union County",0.902,"Kindergarten","515 Elizabeth Ave, Monroe, NC 28112"
688,"Private","Grace Academy","Union County",0.692,"Kindergarten",NA
370042603456,"Charter/Lab","Monroe Charter Academy","Union County",0.652,"Kindergarten","2850 Old Charlotte Hwy, Monroe, NC 28110"
370462002821,"Public","New Town Elementary","Union County",0.972,"Kindergarten","1100 Waxhaw-Indian Tr. Rd., Waxhaw, NC 28173"
