Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
500402225674.0,Private School,BNEI YAKOV YOSEF OF MONSEY,,Rockland,64.17,All Grades
580917020001.0,Public School,EAST QUOGUE SCHOOL,,Suffolk,99.0,All Grades
581010020002.0,Public School,GREENPORT ELEM SCHOOL,,Suffolk,99.0,All Grades
141101060002.0,Public School,COLDEN ES,,Erie,100.0,All Grades
500402060013.0,Public School,CHESTNUT RIDGE MIDDLE SCHOOL,,Rockland,99.03,All Grades
580602860032.0,Charter School,RIVERHEAD CHARTER SCHOOL,,Suffolk,100.0,All Grades
280503996472.0,Private School,PORTLEDGE SCHOOL,,Nassau,99.62,All Grades
621201060005.0,Public School,ONTEORA H S,,Ulster,100.0,All Grades
661901030002.0,Public School,RYE NECK S H S,,Westchester,100.0,All Grades
500402226478.0,Private School,ADOLPH SCHREIBER HEBREW ACADEMY OF ROCKLAND,,Rockland,98.75,All Grades
513102040001.0,Public School,EDWARDS-KNOX ES,,St.Lawrence,98.9,All Grades
50203990001.0,Private School,SAINT ALBERT THE GREAT ACADEMY,,Cayuga,100.0,All Grades
580201998125.0,Private School,LAUREL HILL SCH,,Suffolk,98.66,All Grades
101001040006.0,Public School,CHATHAM MS,,Columbia,100.0,All Grades
353100145558.0,Private School,BISHOP PATRICK V AHERN HIGH SCHOOL,,Richmond,100.0,All Grades
661401030007.0,Public School,OSSINING S H S,,Westchester,100.0,All Grades
560603659827.0,Private School,COUNTRY SIDE SCHOOL,,Seneca,16.67,All Grades
353100145402.0,Private School,ST PETERS H S-BOYS,,Richmond,99.14,All Grades
520302060007.0,Public School,KARIGON ELEM SCHOOL,,Saratoga,100.0,All Grades
140600010094.0,Public School,PS 89 LYDIA T. WRIGHT SCHOOL,,Erie,96.89,All Grades
620901060001.0,Public School,RONDOUT VALLEY H S,,Ulster,99.63,All Grades
140600860987.0,Charter School,BUFFALO CREEK ACADEMY CHARTER SCHOOL,,Erie,99.44,All Grades
132201040002.0,Public School,ALDEN PLACE ELEMENTARY SCHOOL,,Dutchess,99.36,All Grades
