Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,RIVERA ELEMENTARY,5102 S CHERRY AVE,PIMA,PUBLIC,100.00,6th Grade
,RIVERVIEW SCHOOL,12701 N MAIN ST,MARICOPA,PUBLIC,96.97,6th Grade
,ROADRUNNER ELEMENTARY SCHOOL-85051,7702 N 39TH AVE,MARICOPA,PUBLIC,98.91,6th Grade
,ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,PIMA,PUBLIC,95.45,6th Grade
,ROBERT AND DANELL TARWATER ELEMENTARY,2300 SOUTH GARDNER DRIVE,MARICOPA,PUBLIC,97.46,6th Grade
,ROBERT RICE ELEMENTARY,1290 E. OCOTILLO ROAD,MARICOPA,PUBLIC,97.20,6th Grade
,ROBERT RICHARDSON ELEMENTARY SCHOOL,6901 N CAMINO DE LA TIERRA,PIMA,PUBLIC,96.00,6th Grade
,ROBINS ELEMENTARY SCHOOL,3939 N MAGNETITE LN,PIMA,PUBLIC,100.00,6th Grade
,ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MARICOPA,PUBLIC,98.72,6th Grade
,ROGERS RANCH SCHOOL,6735 S 47TH AVE,MARICOPA,PUBLIC,97.41,6th Grade
,RON WATSON MIDDLE SCHOOL,9851 E 28TH ST,YUMA,PUBLIC,98.88,6th Grade
,RONALD REAGAN FUNDAMENTAL SCHOOL,3200 W 16TH ST,YUMA,PUBLIC,100.00,6th Grade
,ROOSEVELT ELEMENTARY SCHOOL,828 S VALENCIA,MARICOPA,PUBLIC,95.71,6th Grade
,ROSKRUGE BILINGUAL K-8 SCHOOL,501 E 6TH ST,PIMA,PUBLIC,96.74,6th Grade
,ROUND VALLEY MIDDLE SCHOOL,126 W 2ND ST,APACHE,PUBLIC,88.51,6th Grade
,ROYAL PALM MIDDLE SCHOOL,8520 N 19TH AVE,MARICOPA,PUBLIC,98.11,6th Grade
,RUDY G BOLOGNA ELEMENTARY,1625 E FRY RD,MARICOPA,PUBLIC,94.92,6th Grade
,RUTH FISHER ELEMENTARY SCHOOL,38201 W INDIAN SCHOOL RD,MARICOPA,PUBLIC,97.01,6th Grade
,RUTH POWELL ELEMENTARY SCHOOL,1041 S 14TH AVE,GRAHAM,PUBLIC,96.36,6th Grade
,SACATON MIDDLE SCHOOL,SKILL CENTER RD,PINAL,PUBLIC,100.00,6th Grade
,SACRED HEART CATHOLIC SCHOOL,207 W OAK ST,SANTA CRUZ,PRIVATE,100.00,6th Grade
,SACRED HEART ELEMENTARY SCHOOL,131 N SUMMIT AVE,YAVAPAI,PRIVATE,72.73,6th Grade
,SAFFORD ENGINEERING/TECHNOLOGY MAGNET MIDDLE SCHOOL,200 E 13TH ST,PIMA,PUBLIC,100.00,6th Grade
,SAHUARITA MIDDLE SCHOOL,350 W SAHUARITA RD,PIMA,PUBLIC,96.82,6th Grade
,SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,MARICOPA,PUBLIC,95.65,6th Grade
,SAHUARO SCHOOL,12835 N 33RD AVE,MARICOPA,PUBLIC,98.90,6th Grade
,SAINT AMBROSE SCHOOL,300 S TUCSON BLVD,PIMA,PRIVATE,100.00,6th Grade
,SAINT ANTHONY CATHOLIC SCHOOL,1400 E OWENS,NAVAJO,PRIVATE,86.67,6th Grade
,SAINT ANTHONY OF PADUA ELMENTARY SCHOOL,501 E 2ND ST,PINAL,PRIVATE,100.00,6th Grade
,SAINT CATHERINE OF SIENA SCHOOL,6413 S CENTRAL AVE,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT CYRIL OF ALEXANDRIA SCHOOL,4725 E PIMA ST,PIMA,PRIVATE,100.00,6th Grade
,SAINT DAVID ELEMENTARY SCHOOL,70 PATTON HWY,COCHISE,PUBLIC,93.94,6th Grade
,SAINT ELIZABETH ANN SETON SCHOOL,8650 N SHANNON RD,PIMA,PRIVATE,100.00,6th Grade
,SAINT FRANCIS OF ASSISI SCHOOL,700 W 18TH ST,YUMA,PRIVATE,100.00,6th Grade
,SAINT FRANCIS XAVIER SCHOOL,4715 N CENTRAL AVE,MARICOPA,PRIVATE,98.70,6th Grade
,SAINT GREGORY SCHOOL,3440 N 18TH AVE,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT JEROME CATHOLIC SCHOOL,10815 N 35TH AVE,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT JOHN THE EVANGELIST SCHOOL,600 W AJO WAY,PIMA,PRIVATE,97.78,6th Grade
,SAINT JOHN VIANNEY CATHOLIC SCHOOL,539 LA PASADA BLVD,MARICOPA,PRIVATE,96.15,6th Grade
,SAINT JOHN XXIII CATHOLIC SCHOOL,16235 N 60TH ST,MARICOPA,PRIVATE,98.44,6th Grade
,SAINT JOHNS MIDDLE SCHOOL,555 W 7TH SOUTH,APACHE,PUBLIC,83.64,6th Grade
,SAINT JOSEPH CATHOLIC SCHOOL,215 S CRAYCROFT RD,PIMA,PRIVATE,96.30,6th Grade
,SAINT LOUIS THE KING SCHOOL,4331 W MARYLAND AVE,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT MARY-BASHA CATHOLIC SCHOOL,200 W GALVESTON ST,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT MICHAEL'S PARISH DAY SCHOOL,602 N WILMOT RD,PIMA,PRIVATE,97.30,6th Grade
,SAINT PETER INDIAN MISSION SCHOOL,1500 N ST PETER RD,PINAL,PRIVATE,100.00,6th Grade
,SAINT THERESA CATHOLIC SCHOOL,5001 E THOMAS RD,MARICOPA,PRIVATE,92.59,6th Grade
,SAINT THOMAS AQUINAS GRADE SCHOOL,13720 W THOMAS RD,MARICOPA,PRIVATE,94.12,6th Grade
,SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,4510 N 24TH ST,MARICOPA,PRIVATE,100.00,6th Grade
,SAINT TIMOTHY CATHOLIC SCHOOL,2520 S ALMA SCHOOL RD,MARICOPA,PRIVATE,95.83,6th Grade
,SAINT VINCENT DE PAUL CATHOLIC SCHOOL,3130 N 51ST AVE,MARICOPA,PRIVATE,100.00,6th Grade
,SAINTS PETER & PAUL CATHOLIC SCHOOL,1436 N CAMPBELL AVE,PIMA,PRIVATE,100.00,6th Grade
,SAINTS SIMON AND JUDE SCHOOL,6351 N 27TH AVE,MARICOPA,PRIVATE,96.00,6th Grade
,SALIDA DEL SOL ELEMENTARY,910 S AVENUE C,YUMA,PUBLIC,100.00,6th Grade
,SALK ELEMENTARY SCHOOL,7029 E BROWN RD,MARICOPA,PUBLIC,98.78,6th Grade
,SALOME ELEMENTARY SCHOOL,SAGUARO ST AND MAIN ST,LA PAZ,PUBLIC,100.00,6th Grade
,SALT RIVER ELEMENTARY SCHOOL,11582 E HIGHLAND RD,MARICOPA,PRIVATE,100.00,6th Grade
,SAN CARLOS JUNIOR HIGH SCHOOL,RTE 6 NEAR SKILL CENTER,GILA,PUBLIC,99.04,6th Grade
,SAN FRANCISCO DE ASIS CATHOLIC SCHOOL,1600 E RTE 66,COCONINO,PRIVATE,94.44,6th Grade
,SAN MARCOS ELEMENTARY SCHOOL,451 W FRYE RD,MARICOPA,PUBLIC,97.96,6th Grade
,SAN TAN CHARTER SCHOOL,3959 E ELLIOT RD,MARICOPA,CHARTER,60.38,6th Grade
,SAN TAN ELEMENTARY,3443 E CALISTOGA DR,MARICOPA,PUBLIC,95.49,6th Grade
,SAN TAN HEIGHTS ELEMENTARY,2500 W SAN TAN HEIGHTS BLVD,PINAL,PUBLIC,89.01,6th Grade
,SANBORN ELEMENTARY SCHOOL,700 N SUPERSTITION BLVD,MARICOPA,PUBLIC,88.61,6th Grade
,SANDPIPER ELEMENTARY SCHOOL,6724 E HEARN RD,MARICOPA,PUBLIC,94.12,6th Grade
,SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,4840 E. ADOBE ST,MARICOPA,PUBLIC,94.59,6th Grade
,SANTA CLARA ELEMENTARY SCHOOL,6910 S SANTA CLARA AVE,PIMA,PUBLIC,98.57,6th Grade
,SANTA CRUZ CATHOLIC SCHOOL,29 W 22ND ST,PIMA,PRIVATE,100.00,6th Grade
,SANTA FE ELEMENTARY SCHOOL,9880 N 77TH AVE,MARICOPA,PUBLIC,95.65,6th Grade
,SANTA MARIA MIDDLE SCHOOL,7250 W LOWER BUCKEYE RD,MARICOPA,PUBLIC,99.44,6th Grade
,SANTAN ELEMENTARY SCHOOL,1550 E CHANDLER HEIGHTS RD,MARICOPA,PUBLIC,97.83,6th Grade
,SATORI CHARTER SCHOOL 2-8TH,3727 N 1ST AVE,PIMA,CHARTER,89.47,6th Grade
,SCHNEPF ELEMENTARY,26161 SOUTH 231ST STREET,MARICOPA,PUBLIC,95.79,6th Grade
,SCHOLARS ACADEMY SUNNYSLOPE,1055 EAST HEARN ROAD,MARICOPA,CHARTER,86.96,6th Grade
,SCOTTSDALE CHRISTIAN ACADEMY,14400 N TATUM BLVD,MARICOPA,PRIVATE,82.67,6th Grade
,SCOTTSDALE PREPARATORY ACADEMY,16537 N 92ND ST,MARICOPA,CHARTER,93.57,6th Grade
,SECRIST MIDDLE SCHOOL,3400 S HOUGHTON RD,PIMA,PUBLIC,97.56,6th Grade
,SEDONA CHARTER SCHOOL,165 KACHINA DR,YAVAPAI,CHARTER,37.50,6th Grade
,SELF DEVELOPMENT ACADEMY PHOENIX,1515 E INDIAN SCHOOL RD,MARICOPA,CHARTER,96.88,6th Grade
,SELF DEVELOPMENT CHARTER SCHOOL-85202,1709 N GREENFIELD RD,MARICOPA,CHARTER,100.00,6th Grade
,SELIGMAN ELEMENTARY SCHOOL,500 N MAIN ST,YAVAPAI,PUBLIC,90.91,6th Grade
,SEQUOIA CHARTER ELEMENTARY SCHOOL,1460 S HORNE,MARICOPA,CHARTER,92.00,6th Grade
,SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,HOME BASED,MARICOPA,CHARTER,75.00,6th Grade
,SEQUOIA LEHI CHARTER SCHOOL,2331 N HORNE,MARICOPA,CHARTER,90.48,6th Grade
,SEQUOIA PATHFINDER AT VERRADO WAY ,20370 WEST ROOSEVELT STREET,MARICOPA,CHARTER,85.45,6th Grade
,SEQUOIA PATHWAY ACADEMY,19265 N. PORTER RD,PINAL,CHARTER,88.89,6th Grade
,SEQUOIA VILLAGE,982 FULL HOUSE LN,NAVAJO,CHARTER,80.95,6th Grade
,SETTLERS POINT ELEMENTARY,423 E SETTLERS POINT,MARICOPA,PUBLIC,100.00,6th Grade
,SEVILLA WEST SCHOOL,3851 W MISSOURI AVE,MARICOPA,PUBLIC,99.39,6th Grade
,SHAW BUTTE SCHOOL,12202 N 21ST AVE,MARICOPA,PUBLIC,98.18,6th Grade
,SHEELY FARMS ELEMENTARY SCHOOL,9450 W ENCANTO BLVD,MARICOPA,PUBLIC,98.21,6th Grade
,SHOW LOW JUNIOR HIGH SCHOOL,761 E MCNEIL,NAVAJO,PUBLIC,92.49,6th Grade
,SHUMWAY ELEMENTARY SCHOOL,1325 N SHUMWAY AVE,MARICOPA,PUBLIC,96.30,6th Grade
,SIERRA MIDDLE SCHOOL,5801 S DEL MORAL BLVD,PIMA,PUBLIC,100.00,6th Grade
,SIERRA VERDE ELEMENTARY,7241 W ROSE GARDEN LN,MARICOPA,PUBLIC,96.36,6th Grade
,SILVER VALLEY ELEMENTARY,9737 E TOLDEO AVE,MARICOPA,PUBLIC,90.30,6th Grade
,SINAGUA MIDDLE SCHOOL,3950 E BUTLER AVE,COCONINO,PUBLIC,95.93,6th Grade
,SIRRINE ELEMENTARY SCHOOL,591 W MESQUITE ST,MARICOPA,PUBLIC,92.31,6th Grade
,SKY CROSSING ELEMENTARY SCHOOL,3300 EAST SKY CROSSING WAY,MARICOPA,PUBLIC,96.67,6th Grade
,SKY VIEW ELEMENTARY SCHOOL,8624 W SWEETWATER,MARICOPA,PUBLIC,96.15,6th Grade
,SKYLINE DISTRICT 5,CASA BLANCA & PRESCHOOL RD,PINAL,CHARTER,100.00,6th Grade
,SKYLINE RANCH ELEMENTARY,1084 W SAN TAN HILLS DR,PINAL,PUBLIC,93.51,6th Grade
,SKYVIEW SCHOOL,125 S RUSH ST,YAVAPAI,CHARTER,62.50,6th Grade
,SMOKETREE ELEMENTARY SCHOOL,2395 SMOKETREE AVE,MOHAVE,PUBLIC,98.00,6th Grade
,SNOWFLAKE INTERMEDIATE SCHOOL,62 WEST 2ND SOUTH,NAVAJO,PUBLIC,88.46,6th Grade
,SOLANO SCHOOL,1526 W MISSOURI AVE,MARICOPA,PUBLIC,93.88,6th Grade
,SOLOMON ELEMENTARY SCHOOL,2250 S STEVENS AVE,GRAHAM,PUBLIC,100.00,6th Grade
,SOMERSET ACADEMY SKYWAY CAMPUS,14900 WEST VAN BUREN STREET,MARICOPA,CHARTER,72.22,6th Grade
,SONOMA RANCH ELEMENTARY SCHOOL,601 N BISCAYNE DR,MARICOPA,PUBLIC,94.37,6th Grade
,SONORAN FOOTHILLS SCHOOL,32150 N NORTH FOOTHILLS DR,MARICOPA,PUBLIC,96.23,6th Grade
,SONORAN HEIGHTS MIDDLE SCHOOL,11405 N GREER RANCH PKWY,MARICOPA,PUBLIC,96.60,6th Grade
,SONORAN SCIENCE ACADEMY - PEORIA,17667 N 91ST AVE,MARICOPA,CHARTER,100.00,6th Grade
,SONORAN SCIENCE ACADEMY - PHOENIX,3535 E MCDOWELL ROAD,MARICOPA,CHARTER,89.74,6th Grade
,SONORAN SCIENCE ACADEMY - TUCSON,2325 E. SUNSET RD,PIMA,CHARTER,96.97,6th Grade
,SONORAN SCIENCE ACADEMY EAST,7450 E STELLA RD,PIMA,CHARTER,98.15,6th Grade
,SONORAN SCIENCE ACADEMY-DAVIS MONTHAN,5741 E. IRONWOOD ST,PIMA,CHARTER,100.00,6th Grade
,SONORAN SKY ELEMENTARY SCHOOL-85260,12990 N 75TH ST,MARICOPA,PUBLIC,92.11,6th Grade
,SONORAN SKY ELEMENTARY SCHOOL-85307,10150 W MISSOURI AVE,MARICOPA,PUBLIC,96.72,6th Grade
,SOUSA ELEMENTARY SCHOOL,616 N MOUNTAIN RD,MARICOPA,PUBLIC,95.31,6th Grade
,SOUTH POINTE PUBLIC CHARTER ELEMENTARY,2033 E SOUTHERN AVE,MARICOPA,CHARTER,95.45,6th Grade
,SOUTH POINTE PUBLIC JUNIOR HIGH SCHOOL,217 E OLYMPIC DR,MARICOPA,CHARTER,88.89,6th Grade
,SOUTH VALLEY PREP AND ARTS SCHOOL,7450 S 40TH ST,MARICOPA,CHARTER,96.61,6th Grade
,SOUTHSIDE COMMUNITY SCHOOL,2701 S CAMPBELL AVE,PIMA,CHARTER,100.00,6th Grade
,SOUTHWEST ELEMENTARY SCHOOL,1111 W DOBBINS RD,MARICOPA,PUBLIC,94.29,6th Grade
,SOUTHWESTERN CHRISTIAN SCHOOL,3261 S AVENUE 6 E,YUMA,PRIVATE,100.00,6th Grade
,SPECTRUM ELEMENTARY,2846 S SPECTRUM WAY,MARICOPA,PUBLIC,92.50,6th Grade
,"SPORTS LEADERSHIP, ARTS, AND MANAGEMENT ACADEMY",1938 EAST APACHE BOULEVARD,MARICOPA,CHARTER,72.73,6th Grade
,ST. JOHN BOSCO CATHOLIC SCHOOL PROGRAM,16035 S 48TH ST,MARICOPA,PRIVATE,89.47,6th Grade
,ST. LOUIS THE KING PRE-KINDERGARTEN AND EXTENDED DAY,4331 W MARYLAND AVE,MARICOPA,PRIVATE,100.00,6th Grade
,STANFIELD ELEMENTARY SCHOOL,515 S STANFIELD RD,PINAL,PUBLIC,97.14,6th Grade
,STAR CHARTER SCHOOL,145 LEUPP RD,COCONINO,CHARTER,87.50,6th Grade
,STARLIGHT PARK SCHOOL,7960 W OSBORN RD,MARICOPA,PUBLIC,97.09,6th Grade
,STARLINE ELEMENTARY SCHOOL,3150 STARLINE DR,MOHAVE,PUBLIC,98.11,6th Grade
,STEPPING STONES ACADEMY,35812 N 7TH ST,MARICOPA,CHARTER,75.00,6th Grade
,STETSON HILLS ELEMENTARY,25475 N STETSON HILLS LOOP RD,MARICOPA,PUBLIC,97.37,6th Grade
,STEVEN R JASINSKI ELEMENTARY SCHOOL,4280 S 246TH AVE,MARICOPA,PUBLIC,92.31,6th Grade
,STEVENSON ELEMENTARY SCHOOL - MESA,638 S 96TH ST,MARICOPA,PUBLIC,97.78,6th Grade
,SUMMIT ACADEMY,1560 W SUMMIT PL,MARICOPA,PUBLIC,96.84,6th Grade
,SUMMIT SCHOOL OF AHWATUKEE,4515 E MUIRWOOD DR,MARICOPA,PRIVATE,96.00,6th Grade
,SUMMIT VIEW ELEMENTARY,1900 E SUMMIT ST,PIMA,PUBLIC,96.49,6th Grade
,SUN VALLEY ACADEMY - AVONDALE,1515 N 117TH AVENUE,MARICOPA,CHARTER,77.27,6th Grade
,SUN VALLEY ACADEMY - PHOENIX,2675 W BASELINE RD,MARICOPA,CHARTER,87.30,6th Grade
,SUN VALLEY ELEMENTARY,3667 SAN LUIS LANE,YUMA,PUBLIC,100.00,6th Grade
,SUN VALLEY ELEMENTARY SCHOOL,8361 N 95TH AVE,MARICOPA,PUBLIC,97.56,6th Grade
,SUNBURST ELEMENTARY SCHOOL,14218 N 47TH AVE,MARICOPA,PUBLIC,98.94,6th Grade
,SUNDANCE ELEMENTARY SCHOOL-85326,23800 W HADLEY ST,MARICOPA,PUBLIC,94.94,6th Grade
,SUNDANCE ELEMENTARY SCHOOL-85345,7051 W CHOLLA ST,MARICOPA,PUBLIC,97.10,6th Grade
,SUNLAND ELEMENTARY SCHOOL,5401 S 7TH AVE,MARICOPA,PUBLIC,98.63,6th Grade
,SUNNYSLOPE ELEMENTARY SCHOOL,245 EAST MOUNTAIN VIEW ROAD,MARICOPA,PUBLIC,97.59,6th Grade
,SUNRISE ELEMENTARY SCHOOL - PHOENIX,17624 N 31ST AVE,MARICOPA,PUBLIC,96.43,6th Grade
,SUNSET CANYON SCHOOL,2727 E SIESTA LN,MARICOPA,PUBLIC,95.00,6th Grade
,SUNSET ELEMENTARY SCHOOL-85033,6602 W OSBORN RD,MARICOPA,PUBLIC,100.00,6th Grade
,SUNSET HEIGHTS ELEMENTARY SCHOOL-85382,9687 W ADAM AVE,MARICOPA,PUBLIC,96.12,6th Grade
,SUNSET HILLS ELEMENTARY-85379,17825 WEST SIERRA MONTANA LOOP,MARICOPA,PUBLIC,95.12,6th Grade
,SUNSET RIDGE ELEMENTARY-85086,35707 N 33RD LN,MARICOPA,PUBLIC,97.10,6th Grade
,SUNSET RIDGE ELEMENTARY-85305,8490 W MISSOURI AVE,MARICOPA,PUBLIC,97.14,6th Grade
,SUNSET SCHOOL-85302,4626 W MOUNTAIN VIEW RD,MARICOPA,PUBLIC,100.00,6th Grade
,SUPERSTITION SPRINGS ELEMENTARY,7125 E MONTEREY AVE,MARICOPA,PUBLIC,96.15,6th Grade
,SURPRISE ELEMENTARY SCHOOL,12907 W GREENWAY RD,MARICOPA,PUBLIC,97.62,6th Grade
,SWEETWATER SCHOOL-85304,4602 W SWEETWATER AVE,MARICOPA,PUBLIC,94.23,6th Grade
,SYNERGY PUBLIC SCHOOL,2701 W BETHANY HOME RD,MARICOPA,CHARTER,78.13,6th Grade
,T DALE HANCOCK ELEMENTARY,2425 S PLEASANT DR,MARICOPA,PUBLIC,96.91,6th Grade
,T G BARR SCHOOL,2041 E VINEYARD RD,MARICOPA,PUBLIC,97.30,6th Grade
,TAFT ELEMENTARY SCHOOL,9800 E QUARTERLINE RD,MARICOPA,PUBLIC,98.41,6th Grade
,TANQUE VERDE ELEMENTARY SCHOOL,2600 N FENNIMORE AVE,PIMA,PUBLIC,99.06,6th Grade
,TAYLOR INTERMEDIATE SCHOOL,207 N 500 WEST,NAVAJO,PUBLIC,80.52,6th Grade
,TELESIS PREPARATORY ACADEMY,2598 STARLITE LN,MOHAVE,CHARTER,86.67,6th Grade
,TEMPE PREPARATORY ACADEMY,1251 E SOUTHERN AVE,MARICOPA,CHARTER,88.89,6th Grade
,TERRAMAR ELEMENTARY,7000 W HAPPY VALLEY RD,MARICOPA,PUBLIC,98.33,6th Grade
,THATCHER ELEMENTARY SCHOOL,1350 N 4TH AVE,GRAHAM,PUBLIC,96.77,6th Grade
,THE CREIGHTON ACADEMY,2802 E MCDOWELL RD,MARICOPA,PUBLIC,100.00,6th Grade
,THE GREGORY SCHOOL,3231 N CRAYCROFT RD,PIMA,PRIVATE,97.37,6th Grade
,THE JONES GORDON SCHOOL,4800 E. DOUBLETREE RANCH RD,MARICOPA,PRIVATE,86.67,6th Grade
,THE PAIDEIA ACADEMY OF SOUTH PHOENIX,7777 S 15TH TER,MARICOPA,CHARTER,97.65,6th Grade
,THOMAS A EDISON SCHOOL,804 N 18TH ST,MARICOPA,PUBLIC,100.00,6th Grade
,THOMPSON RANCH ELEMENTARY,11800 W THOMPSON RANCH RD,MARICOPA,PUBLIC,97.65,6th Grade
,THUNDERBIRD CHRISTIAN ELEMENTARY,7440 E. SUTTON DRIVE,MARICOPA,PRIVATE,73.33,6th Grade
,TIERRA DEL SOL ELEMENTARY SCHOOL,16551 S SOMERTON AVE,YUMA,PUBLIC,98.52,6th Grade
,TOLTEC ELEMENTARY  SCHOOL,3315 N TOLTEC RD,PINAL,PUBLIC,97.73,6th Grade
,TOMAHAWK ELEMENTARY SCHOOL,7820 W TURNEY AVE,MARICOPA,PUBLIC,100.00,6th Grade
,TONALEA ELEMENTARY SCHOOL,6720 E CONTINENTAL DR,MARICOPA,PRIVATE,96.23,6th Grade
,TOWN & COUNTRY ELEMENTARY SCHOOL,1313 S LENZNER AVE,COCHISE,PUBLIC,100.00,6th Grade
,TOWNE MEADOWS ELEMENTARY SCHOOL,1101 N RECKER RD,MARICOPA,PUBLIC,100.00,6th Grade
,TRAILSIDE POINT ELEMENTARY,7275 W VINEYARD RD,MARICOPA,PUBLIC,96.64,6th Grade
,TRES RIOS ELEMENTARY SCHOOL,5025 S 103RD AVE,MARICOPA,PUBLIC,100.00,6th Grade
,TRI-CITY CHRISTIAN ACADEMY,2211 W GERMANN RD,MARICOPA,PRIVATE,76.92,6th Grade
,TRI-CITY COLLEGE PREP (DBA MARRY ELLEN HALVORSON EDUCATION FOUNDATION),5522 SIDE ROAD,YAVAPAI,CHARTER,83.33,6th Grade
,TRINITY CHRISTIAN SCHOOL - PRESCOTT,1212 WARRIOR WAY,YAVAPAI,PRIVATE,86.05,6th Grade
,TRINITY LUTHERAN ELEMENTARY SCHOOL - LITCHFIELD PARK,830 PLAZA CIR,MARICOPA,PRIVATE,95.24,6th Grade
,TRIVIUM PREPARATORY ACADEMY,2001 N BULLARD AVE,MARICOPA,CHARTER,93.60,6th Grade
,TSAILE ELEMENTARY SCHOOL,RTE 12,APACHE,PUBLIC,100.00,6th Grade
,TUBA CITY JUNIOR HIGH SCHOOL,EAST FIR STREET,COCONINO,PUBLIC,100.00,6th Grade
,TUCSON COUNTRY DAY SCHOOL,9239 E WRIGHTSTOWN RD,PIMA,CHARTER,100.00,6th Grade
,TUCSON INTERNATIONAL ACADEMY MIDVALE,1625 W VALENCIA RD #109,PIMA,CHARTER,100.00,6th Grade
,TUCSON WALDORF SCHOOL,3605 E RIVER RD,PIMA,PRIVATE,66.67,6th Grade
,TUMBLEWEED ELEMENTARY SCHOOL - 85029,4001 W LAUREL LN,MARICOPA,PUBLIC,100.00,6th Grade
,TWIN PEAKS ELEMENTARY SCHOOL,7995 W TWIN PEAKS RD,PIMA,PUBLIC,95.73,6th Grade
,UNION PARK SCHOOL,25700 N 21ST AVENUE,MARICOPA,PUBLIC,96.30,6th Grade
,UTTERBACK MIDDLE SCHOOL,3233 S PINAL VISTA,PIMA,PUBLIC,96.49,6th Grade
,V H LASSEN ELEMENTARY SCHOOL,909 W VINEYARD RD,MARICOPA,PUBLIC,100.00,6th Grade
,VAIL ACADEMY & HIGH SCHOOL,7762 E SCIENCE PARK DR,PIMA,CHARTER,100.00,6th Grade
,VAIL BLENDED LEARNING,10775 E MARY ANN CLEVELAND WAY,PIMA,PUBLIC,100.00,6th Grade
,VAIL INNOVATION CENTER,10775 E MARY ANN CLEVELAND WAY,PIMA,PUBLIC,94.12,6th Grade
,VAL VISTA ACADEMY - A BALL CHARTER SCHOOL,4120 S VAL VISTA DR,MARICOPA,CHARTER,90.57,6th Grade
,VAL VISTA LAKES ELEMENTARY SCHOOL,1030 N BLUE GROTTO DR,MARICOPA,PUBLIC,89.41,6th Grade
,VALENCIA MIDDLE SCHOOL,4400 W IRVINGTON RD,PIMA,PUBLIC,98.04,6th Grade
,VALENCIA NEW COMER SCHOOL,3802 W MARYLAND AVE,MARICOPA,PUBLIC,100.00,6th Grade
,VALLE DEL ENCANTO LEARNING CENTER,400 N CESAR CHAVEZ AVE,YUMA,PUBLIC,100.00,6th Grade
,VALLEY CHRISTIAN SCHOOL,6304 S PRICE RD,MARICOPA,PRIVATE,86.49,6th Grade
,VALLEY HORIZON ELEMENTARY SCHOOL,4501 W 20TH ST,YUMA,PUBLIC,98.75,6th Grade
,VALLEY VIEW SCHOOL,8220 S 7TH AVE,MARICOPA,PUBLIC,98.33,6th Grade
,VALOR PREPARATORY ACADEMY,13185 WEST THOMAS ROAD,MARICOPA,CHARTER,75.00,6th Grade
,VERDE CHRISTIAN ACADEMY,102 S WILLARD ST,YAVAPAI,PRIVATE,84.21,6th Grade
,VERITAS CHRISTIAN COMMUNITY SCHOOL,215 TAYLOR DR,COCHISE,PRIVATE,91.67,6th Grade
,VERITAS PREPARATORY ACADEMY,3102 N 56TH ST,MARICOPA,CHARTER,91.84,6th Grade
,VERNON ELEMENTARY SCHOOL,10 E MAIN ST,APACHE,PUBLIC,100.00,6th Grade
,VERRADO HERITAGE ELEMENTARY SCHOOL - W HAMILTON ST,20895 W HAMILTON ST,MARICOPA,PUBLIC,93.33,6th Grade
,VERRADO MIDDLE SCHOOL,20880 W MAIN ST,MARICOPA,PUBLIC,93.13,6th Grade
,VICTORY COLLEGIATE COOPERATION,3535 N 63RD AVENUE,MARICOPA,CHARTER,100.00,6th Grade
,VILLA DE PAZ ELEMENTARY SCHOOL,4940 N 103RD AVE,MARICOPA,PUBLIC,94.44,6th Grade
,VILLA MONTESSORI SCHOOL - MEADOWBROOK,2802 E MEADOWBROOK AVE,MARICOPA,PRIVATE,91.07,6th Grade
,VILLAGE MEADOWS ELEMENTARY SCHOOL,2020 W MORNINGSIDE DR,MARICOPA,PUBLIC,95.56,6th Grade
,VILLAGO MIDDLE SCHOOL,574 E LAKESIDE PKWY,PINAL,PUBLIC,96.24,6th Grade
,VIRTUAL PREPARATORY ACADEMY OF ARIZONA,433 NORTH HALL ROAD,MARICOPA,CHARTER,54.55,6th Grade
,VISTA COLLEGE PREP - SUNEO PARK,1720 NORTH 45TH AVENUE,MARICOPA,CHARTER,99.22,6th Grade
,VISTA COLLEGE PREP METRO NORTH ELEMENTARY,2133 WEST PEORIA AVENUE,MARICOPA,CHARTER,97.37,6th Grade
,VISTA DEL SUR TRADITIONAL SCHOOL,3908 W SOUTH MOUNTAIN AVE,MARICOPA,PUBLIC,98.78,6th Grade
,VISTANCIA ELEMENTARY SCHOOL,30009 N SUNSET POINT,MARICOPA,PUBLIC,97.25,6th Grade
,VULTURE PEAK MIDDLE SCHOOL,920 S VULTURE MINE RD,MARICOPA,PUBLIC,97.44,6th Grade
,WADE CARPENTER MIDDLE SCHOOL,595 W KINO ST,SANTA CRUZ,PUBLIC,99.47,6th Grade
,WAKEFIELD MIDDLE SCHOOL,101 W 44TH STREET,PIMA,PUBLIC,98.96,6th Grade
,WALKER BUTTE K-8,29897 N DESERT WILLOW BLVD,PINAL,PUBLIC,98.92,6th Grade
