Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,COLUMBUS EAST HIGH SCHOOL,BARTHOLOMEW,12,94.27
,,,COLUMBUS NORTH HIGH SCHOOL,BARTHOLOMEW,12,96.01
,,,CLIFTY CREEK ELEMENTARY SCHOOL,BARTHOLOMEW,K,88.89
,,,CSA FODREA CAMPUS,BARTHOLOMEW,K,86.96
,,,CSA LINCOLN CAMPUS,BARTHOLOMEW,K,96.08
,,,L F SMITH ELEMENTARY,BARTHOLOMEW,K,89.29
,,,LILLIAN SCHMITT ELEMENTARY SCHOOL,BARTHOLOMEW,K,82.83
,,,MOUNT HEALTHY ELEMENTARY SCHOOL,BARTHOLOMEW,K,95.35
,,,PARKSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,K,95.92
,,,ROCKCREEK ELEMENTARY SCHOOL,BARTHOLOMEW,K,100
,,,SOUTHSIDE ELEMENTARY SCHOOL,BARTHOLOMEW,K,83.96
,,,TAYLORSVILLE ELEMENTARY SCHOOL,BARTHOLOMEW,K,89.74
,,,W D RICHARDS ELEMENTARY SCHOOL,BARTHOLOMEW,K,91.46
,,,HAUSER JR-SR HIGH SCHOOL,BARTHOLOMEW,7,98.59
,,,HAUSER JR-SR HIGH SCHOOL,BARTHOLOMEW,12,98.46
,,,HOPE ELEMENTARY SCHOOL,BARTHOLOMEW,6,96.51
,,,HOPE ELEMENTARY SCHOOL,BARTHOLOMEW,K,91.07
,,,HOPE ELEMENTARY SCHOOL,BARTHOLOMEW,1,98.75
,,,OTTERBEIN ELEMENTARY SCHOOL,BENTON,K,100
